code,name,theme1,theme2,theme3,theme4,theme5,theme6,theme7,theme8,theme9,theme10,theme11,theme12,theme13,theme14,theme15,theme16,theme17,theme18,theme19,theme20,theme21,theme22,theme23,theme24
169330,엠브레인,2020 하반기 신규상장,,,,,,,,,,,,,,,,,,,,,,,
326030,SK바이오팜,2020 하반기 신규상장,제약업체,K-뉴딜지수(바이오),K-뉴딜지수,,,,,,,,,,,,,,,,,,,,
330350,위더스제약,2020 하반기 신규상장,제약업체,,,,,,,,,,,,,,,,,,,,,,
290520,신도기연,2020 하반기 신규상장,수소차(연료전지/부품/충전소 등),플렉서블 디스플레이,OLED(유기 발광 다이오드),,,,,,,,,,,,,,,,,,,,
950200,소마젠REG.S,2020 하반기 신규상장,코로나19(진단/치료제/백신 개발 등),유전자 치료제/분석,코로나19(모더나),코로나19(진단키트),,,,,,,,,,,,,,,,,,,
351340,IBKS제13호스팩,2020 하반기 신규상장,기업인수목적회사(SPAC),,,,,,,,,,,,,,,,,,,,,,
262260,에이프로,2020 하반기 신규상장,2차전지,2차전지(장비),,,,,,,,,,,,,,,,,,,,,
334890,이지스밸류리츠,2020 하반기 신규상장,리츠(REITs),,,,,,,,,,,,,,,,,,,,,,
277880,티에스아이,2020 하반기 신규상장,2차전지,2차전지(장비),,,,,,,,,,,,,,,,,,,,,
304100,솔트룩스,2020 하반기 신규상장,지능형로봇/인공지능(AI),클라우드 컴퓨팅,,,,,,,,,,,,,,,,,,,,,
343510,하나금융16호스팩,2020 하반기 신규상장,기업인수목적회사(SPAC),,,,,,,,,,,,,,,,,,,,,,
225220,제놀루션,2020 하반기 신규상장,코로나19(진단/치료제/백신 개발 등),유전자 치료제/분석,의료기기,코로나19(진단키트),,,,,,,,,,,,,,,,,,,
298540,더네이쳐홀딩스,2020 하반기 신규상장,패션/의류,,,,,,,,,,,,,,,,,,,,,,
347890,엠투아이,2020 하반기 신규상장,스마트팩토리(스마트공장),,,,,,,,,,,,,,,,,,,,,,
101360,이엔드디,2020 하반기 신규상장,2차전지,2차전지(소재/부품),,,,,,,,,,,,,,,,,,,,,
332570,와이팜,2020 하반기 신규상장,5G(5세대 이동통신),갤럭시 부품주,스마트폰,휴대폰부품,,,,,,,,,,,,,,,,,,,
357250,미래에셋맵스리츠,2020 하반기 신규상장,리츠(REITs),,,,,,,,,,,,,,,,,,,,,,
350520,이지스레지던스리츠,2020 하반기 신규상장,리츠(REITs),,,,,,,,,,,,,,,,,,,,,,
164060,이루다,2020 하반기 신규상장,의료기기,,,,,,,,,,,,,,,,,,,,,,
348950,제이알글로벌리츠,2020 하반기 신규상장,리츠(REITs),,,,,,,,,,,,,,,,,,,,,,
032300,한국파마,2020 하반기 신규상장,제약업체,치매,코로나19(덱사메타손),,,,,,,,,,,,,,,,,,,,
060850,영림원소프트랩,2020 하반기 신규상장,재택근무/스마트워크,클라우드 컴퓨팅,,,,,,,,,,,,,,,,,,,,,
337930,브랜드엑스코퍼레이션,2020 하반기 신규상장,패션/의류,,,,,,,,,,,,,,,,,,,,,,
950190,미투젠,2020 하반기 신규상장,모바일게임(스마트폰),,,,,,,,,,,,,,,,,,,,,,
331920,셀레믹스,2020 하반기 신규상장,아프리카 돼지열병(ASF),유전자 치료제/분석,,,,,,,,,,,,,,,,,,,,,
332370,아이디피,2020 하반기 신규상장,,,,,,,,,,,,,,,,,,,,,,,
357120,코람코에너지리츠,2020 하반기 신규상장,리츠(REITs),,,,,,,,,,,,,,,,,,,,,,
347740,피엔케이피부임상연구센타,2020 하반기 신규상장,,,,,,,,,,,,,,,,,,,,,,,
293490,카카오게임즈,2020 하반기 신규상장,크래프톤 관련주,게임,모바일게임(스마트폰),,,,,,,,,,,,,,,,,,,,
294090,이오플로우,2020 하반기 신규상장,의료기기,,,,,,,,,,,,,,,,,,,,,,
291650,압타머사이언스,2020 하반기 신규상장,제약업체,,,,,,,,,,,,,,,,,,,,,,
347770,핌스,2020 하반기 신규상장,OLED(유기 발광 다이오드),,,,,,,,,,,,,,,,,,,,,,
355150,교보10호스팩,2020 하반기 신규상장,기업인수목적회사(SPAC),,,,,,,,,,,,,,,,,,,,,,
318410,비비씨,2020 하반기 신규상장,,,,,,,,,,,,,,,,,,,,,,,
323990,박셀바이오,2020 하반기 신규상장,면역항암제,,,,,,,,,,,,,,,,,,,,,,
126340,비나텍,2020 하반기 신규상장,수소차(연료전지/부품/충전소 등),전력저장장치(ESS),,,,,,,,,,,,,,,,,,,,,
359090,엔에이치스팩17호,2020 하반기 신규상장,기업인수목적회사(SPAC),,,,,,,,,,,,,,,,,,,,,,
053080,원방테크,2020 하반기 신규상장,2차전지,반도체 장비,코로나19(음압병실/음압구급차),,,,,,,,,,,,,,,,,,,,
348210,넥스틴,2020 하반기 신규상장,반도체 장비,,,,,,,,,,,,,,,,,,,,,,
352820,하이브,2020 하반기 신규상장,음원/음반,엔터테인먼트,,,,,,,,,,,,,,,,,,,,,
304840,피플바이오,2020 하반기 신규상장,치매,,,,,,,,,,,,,,,,,,,,,,
214610,미코바이오메드,2020 하반기 신규상장,코로나19(진단/치료제/백신 개발 등),"백신/진단시약/방역(신종플루, AI 등)",의료기기,코로나19(진단키트),,,,,,,,,,,,,,,,,,,
301300,바이브컴퍼니,2020 하반기 신규상장,지능형로봇/인공지능(AI),,,,,,,,,,,,,,,,,,,,,,
347000,센코,2020 하반기 신규상장,,,,,,,,,,,,,,,,,,,,,,,
348350,위드텍,2020 하반기 신규상장,반도체 장비,,,,,,,,,,,,,,,,,,,,,,
290690,소룩스,2020 하반기 신규상장,LED,,,,,,,,,,,,,,,,,,,,,,
339770,교촌에프앤비,2020 하반기 신규상장,육계,음식료업종,,,,,,,,,,,,,,,,,,,,,
330860,네패스아크,2020 하반기 신규상장,시스템반도체,반도체 장비,,,,,,,,,,,,,,,,,,,,,
348150,고바이오랩,2020 하반기 신규상장,유전자 치료제/분석,,,,,,,,,,,,,,,,,,,,,,
340570,티앤엘,2020 하반기 신규상장,의료기기,,,,,,,,,,,,,,,,,,,,,,
244920,에이플러스에셋,2020 하반기 신규상장,,,,,,,,,,,,,,,,,,,,,,,
299030,하나기술,2020 하반기 신규상장,2차전지,2차전지(장비),,,,,,,,,,,,,,,,,,,,,
199820,제일전기공업,2020 하반기 신규상장,전력설비,스마트홈(홈네트워크),,,,,,,,,,,,,,,,,,,,,
129890,앱코,2020 하반기 신규상장,,,,,,,,,,,,,,,,,,,,,,,
265740,엔에프씨,2020 하반기 신규상장,화장품,,,,,,,,,,,,,,,,,,,,,,
318020,포인트모바일,2020 하반기 신규상장,,,,,,,,,,,,,,,,,,,,,,,
352770,클리노믹스,2020 하반기 신규상장,유전자 치료제/분석,,,,,,,,,,,,,,,,,,,,,,
009900,명신산업,2020 하반기 신규상장,자동차부품,전기차,,,,,,,,,,,,,,,,,,,,,
367340,DB금융스팩8호,2020 하반기 신규상장,기업인수목적회사(SPAC),,,,,,,,,,,,,,,,,,,,,,
317690,퀀타매트릭스,2020 하반기 신규상장,코로나19(진단/치료제/백신 개발 등),의료기기,코로나19(진단키트),,,,,,,,,,,,,,,,,,,,
354200,엔젠바이오,2020 하반기 신규상장,유전자 치료제/분석,,,,,,,,,,,,,,,,,,,,,,
352940,인바이오,2020 하반기 신규상장,농업,,,,,,,,,,,,,,,,,,,,,,
356860,티엘비,2020 하반기 신규상장,PCB(FPCB 등),,,,,,,,,,,,,,,,,,,,,,
353060,에이치엠씨제5호스팩,2020 하반기 신규상장,기업인수목적회사(SPAC),,,,,,,,,,,,,,,,,,,,,,
353070,에이치엠씨제4호스팩,2020 하반기 신규상장,기업인수목적회사(SPAC),,,,,,,,,,,,,,,,,,,,,,
064850,에프앤가이드,2020 하반기 신규상장,,,,,,,,,,,,,,,,,,,,,,,
347860,알체라,2020 하반기 신규상장,메타버스(Metaverse),바이오인식(생체인식),지능형로봇/인공지능(AI),,,,,,,,,,,,,,,,,,,,
365590,엔에이치스팩18호,2020 하반기 신규상장,기업인수목적회사(SPAC),,,,,,,,,,,,,,,,,,,,,,
335810,프리시젼바이오,2020 하반기 신규상장,의료기기,,,,,,,,,,,,,,,,,,,,,,
365550,ESR켄달스퀘어리츠,2020 하반기 신규상장,리츠(REITs),쿠팡 관련주,,,,,,,,,,,,,,,,,,,,,
357550,석경에이티,2020 하반기 신규상장,,,,,,,,,,,,,,,,,,,,,,,
