code,name,theme
169330,엠브레인,2020 하반기 신규상장
326030,SK바이오팜,2020 하반기 신규상장
330350,위더스제약,2020 하반기 신규상장
290520,신도기연,2020 하반기 신규상장
950200,소마젠REG.S,2020 하반기 신규상장
351340,IBKS제13호스팩,2020 하반기 신규상장
262260,에이프로,2020 하반기 신규상장
334890,이지스밸류리츠,2020 하반기 신규상장
277880,티에스아이,2020 하반기 신규상장
304100,솔트룩스,2020 하반기 신규상장
343510,하나금융16호스팩,2020 하반기 신규상장
225220,제놀루션,2020 하반기 신규상장
298540,더네이쳐홀딩스,2020 하반기 신규상장
347890,엠투아이,2020 하반기 신규상장
101360,이엔드디,2020 하반기 신규상장
332570,와이팜,2020 하반기 신규상장
357250,미래에셋맵스리츠,2020 하반기 신규상장
350520,이지스레지던스리츠,2020 하반기 신규상장
164060,이루다,2020 하반기 신규상장
348950,제이알글로벌리츠,2020 하반기 신규상장
032300,한국파마,2020 하반기 신규상장
060850,영림원소프트랩,2020 하반기 신규상장
337930,브랜드엑스코퍼레이션,2020 하반기 신규상장
950190,미투젠,2020 하반기 신규상장
331920,셀레믹스,2020 하반기 신규상장
332370,아이디피,2020 하반기 신규상장
357120,코람코에너지리츠,2020 하반기 신규상장
347740,피엔케이피부임상연구센타,2020 하반기 신규상장
293490,카카오게임즈,2020 하반기 신규상장
294090,이오플로우,2020 하반기 신규상장
291650,압타머사이언스,2020 하반기 신규상장
347770,핌스,2020 하반기 신규상장
355150,교보10호스팩,2020 하반기 신규상장
318410,비비씨,2020 하반기 신규상장
323990,박셀바이오,2020 하반기 신규상장
126340,비나텍,2020 하반기 신규상장
359090,엔에이치스팩17호,2020 하반기 신규상장
053080,원방테크,2020 하반기 신규상장
348210,넥스틴,2020 하반기 신규상장
352820,하이브,2020 하반기 신규상장
304840,피플바이오,2020 하반기 신규상장
214610,미코바이오메드,2020 하반기 신규상장
301300,바이브컴퍼니,2020 하반기 신규상장
347000,센코,2020 하반기 신규상장
348350,위드텍,2020 하반기 신규상장
290690,소룩스,2020 하반기 신규상장
339770,교촌에프앤비,2020 하반기 신규상장
330860,네패스아크,2020 하반기 신규상장
348150,고바이오랩,2020 하반기 신규상장
340570,티앤엘,2020 하반기 신규상장
244920,에이플러스에셋,2020 하반기 신규상장
299030,하나기술,2020 하반기 신규상장
199820,제일전기공업,2020 하반기 신규상장
129890,앱코,2020 하반기 신규상장
265740,엔에프씨,2020 하반기 신규상장
318020,포인트모바일,2020 하반기 신규상장
352770,클리노믹스,2020 하반기 신규상장
009900,명신산업,2020 하반기 신규상장
367340,DB금융스팩8호,2020 하반기 신규상장
317690,퀀타매트릭스,2020 하반기 신규상장
354200,엔젠바이오,2020 하반기 신규상장
352940,인바이오,2020 하반기 신규상장
356860,티엘비,2020 하반기 신규상장
353060,에이치엠씨제5호스팩,2020 하반기 신규상장
353070,에이치엠씨제4호스팩,2020 하반기 신규상장
064850,에프앤가이드,2020 하반기 신규상장
347860,알체라,2020 하반기 신규상장
365590,엔에이치스팩18호,2020 하반기 신규상장
335810,프리시젼바이오,2020 하반기 신규상장
365550,ESR켄달스퀘어리츠,2020 하반기 신규상장
357550,석경에이티,2020 하반기 신규상장
314130,지놈앤컴퍼니,2020 하반기 신규상장
369370,대신밸런스제9호스팩,2020 하반기 신규상장
367460,유안타제7호스팩,2020 하반기 신규상장
051910,LG화학,2차전지
006400,삼성SDI,2차전지
096770,SK이노베이션,2차전지
086520,에코프로,2차전지
137400,피엔티,2차전지
131390,원익피앤이,2차전지
020150,일진머티리얼즈,2차전지
066970,엘앤에프,2차전지
047310,파워로직스,2차전지
093370,후성,2차전지
005070,코스모신소재,2차전지
091580,상신이디피,2차전지
361610,SK아이이테크놀로지,2차전지
093920,서원인텍,2차전지
054210,이랜텍,2차전지
003670,포스코케미칼,2차전지
004490,세방전지,2차전지
131100,스카이이앤엠,2차전지
089980,상아프론테크,2차전지
161000,애경유화,2차전지
005420,코스모화학,2차전지
054090,삼진엘앤디,2차전지
196490,디에이테크놀로지,2차전지
217820,엔에스,2차전지
222420,쎄노텍,2차전지
222080,씨아이에스,2차전지
033160,엠케이전자,2차전지
161580,필옵틱스,2차전지
001390,KG케미칼,2차전지
251630,브이원텍,2차전지
259630,엠플러스,2차전지
243840,신흥에스이씨,2차전지
220260,켐트로스,2차전지
265560,영화테크,2차전지
055490,테이팩스,2차전지
032560,황금에스티,2차전지
076080,웰크론한텍,2차전지
263770,유에스티,2차전지
005490,POSCO,2차전지
078600,대주전자재료,2차전지
110990,디아이티,2차전지
137940,넥스트아이,2차전지
290670,대보마그네틱,2차전지
302430,이노메트리,2차전지
278280,천보,2차전지
247540,에코프로비엠,2차전지
011790,SKC,2차전지
312610,에이에프더블류,2차전지
282880,코윈테크,2차전지
336370,솔루스첨단소재,2차전지
084850,아이티엠반도체,2차전지
254120,자비스,2차전지
121600,나노신소재,2차전지
178920,PI첨단소재,2차전지
025900,동화기업,2차전지
065130,탑엔지니어링,2차전지
267320,나인테크,2차전지
051490,나라엠앤디,2차전지
262260,에이프로,2차전지
277880,티에스아이,2차전지
093230,이아이디,2차전지
101360,이엔드디,2차전지
320000,윈텍,2차전지
357780,솔브레인,2차전지
079810,디이엔티,2차전지
001780,알루코,2차전지
002710,TCC스틸,2차전지
006110,삼아알미늄,2차전지
065350,신성델타테크,2차전지
011500,한농화성,2차전지
053080,원방테크,2차전지
006650,대한유화,2차전지
226440,한송네오텍,2차전지
075970,동국알앤에스,2차전지
014820,동원시스템즈,2차전지
299030,하나기술,2차전지
001570,금양,2차전지
340930,유일에너테크,2차전지
333620,엔시스,2차전지
096630,에스코넥,2차전지
278280,천보,2차전지(소재/부품)
336370,솔루스첨단소재,2차전지(소재/부품)
047310,파워로직스,2차전지(소재/부품)
361610,SK아이이테크놀로지,2차전지(소재/부품)
357780,솔브레인,2차전지(소재/부품)
066970,엘앤에프,2차전지(소재/부품)
089980,상아프론테크,2차전지(소재/부품)
093920,서원인텍,2차전지(소재/부품)
002710,TCC스틸,2차전지(소재/부품)
101360,이엔드디,2차전지(소재/부품)
084850,아이티엠반도체,2차전지(소재/부품)
263770,유에스티,2차전지(소재/부품)
001780,알루코,2차전지(소재/부품)
078600,대주전자재료,2차전지(소재/부품)
091580,상신이디피,2차전지(소재/부품)
054090,삼진엘앤디,2차전지(소재/부품)
051490,나라엠앤디,2차전지(소재/부품)
001390,KG케미칼,2차전지(소재/부품)
243840,신흥에스이씨,2차전지(소재/부품)
222420,쎄노텍,2차전지(소재/부품)
121600,나노신소재,2차전지(소재/부품)
055490,테이팩스,2차전지(소재/부품)
086520,에코프로,2차전지(소재/부품)
312610,에이에프더블류,2차전지(소재/부품)
020150,일진머티리얼즈,2차전지(소재/부품)
131100,스카이이앤엠,2차전지(소재/부품)
011790,SKC,2차전지(소재/부품)
093370,후성,2차전지(소재/부품)
005490,POSCO,2차전지(소재/부품)
005070,코스모신소재,2차전지(소재/부품)
005420,코스모화학,2차전지(소재/부품)
032560,황금에스티,2차전지(소재/부품)
220260,켐트로스,2차전지(소재/부품)
161000,애경유화,2차전지(소재/부품)
247540,에코프로비엠,2차전지(소재/부품)
003670,포스코케미칼,2차전지(소재/부품)
054210,이랜텍,2차전지(소재/부품)
025900,동화기업,2차전지(소재/부품)
033160,엠케이전자,2차전지(소재/부품)
265560,영화테크,2차전지(소재/부품)
178920,PI첨단소재,2차전지(소재/부품)
065350,신성델타테크,2차전지(소재/부품)
093230,이아이디,2차전지(소재/부품)
006110,삼아알미늄,2차전지(소재/부품)
011500,한농화성,2차전지(소재/부품)
006650,대한유화,2차전지(소재/부품)
075970,동국알앤에스,2차전지(소재/부품)
014820,동원시스템즈,2차전지(소재/부품)
226440,한송네오텍,2차전지(소재/부품)
001570,금양,2차전지(소재/부품)
096630,에스코넥,2차전지(소재/부품)
005930,삼성전자,3D 낸드(NAND)
000660,SK하이닉스,3D 낸드(NAND)
240810,원익IPS,3D 낸드(NAND)
031980,피에스케이홀딩스,3D 낸드(NAND)
084370,유진테크,3D 낸드(NAND)
089030,테크윙,3D 낸드(NAND)
095610,테스,3D 낸드(NAND)
036490,SK머티리얼즈,3D 낸드(NAND)
104830,원익머트리얼즈,3D 낸드(NAND)
074600,원익QnC,3D 낸드(NAND)
045100,한양이엔지,3D 낸드(NAND)
079370,제우스,3D 낸드(NAND)
092070,디엔에프,3D 낸드(NAND)
014680,한솔케미칼,3D 낸드(NAND)
222800,심텍,3D 낸드(NAND)
093370,후성,3D 낸드(NAND)
086390,유니테스트,3D 낸드(NAND)
281820,케이씨텍,3D 낸드(NAND)
319660,피에스케이,3D 낸드(NAND)
196700,웹스,4대강 복원
001840,이화공영,4대강 복원
026150,특수건설,4대강 복원
043910,자연과환경,4대강 복원
060560,홈센타홀딩스,4대강 복원
010960,삼호개발,4대강 복원
046940,우원개발,4대강 복원
029960,코엔텍,4대강 복원
101670,코리아에스이,4대강 복원
003010,혜인,4대강 복원
065440,이루온,5G(5세대 이동통신)
017670,SK텔레콤,5G(5세대 이동통신)
032500,케이엠더블유,5G(5세대 이동통신)
050890,쏠리드,5G(5세대 이동통신)
138080,오이솔루션,5G(5세대 이동통신)
032640,LG유플러스,5G(5세대 이동통신)
030200,KT,5G(5세대 이동통신)
078000,텔코웨어,5G(5세대 이동통신)
005930,삼성전자,5G(5세대 이동통신)
178320,서진시스템,5G(5세대 이동통신)
192410,THQ,5G(5세대 이동통신)
066570,LG전자,5G(5세대 이동통신)
088800,에이스테크,5G(5세대 이동통신)
095270,웨이브일렉트로,5G(5세대 이동통신)
010170,대한광통신,5G(5세대 이동통신)
215790,이노인스트루먼트,5G(5세대 이동통신)
073490,이노와이어리스,5G(5세대 이동통신)
218410,RFHIC,5G(5세대 이동통신)
037460,삼지전자,5G(5세대 이동통신)
035460,기산텔레콤,5G(5세대 이동통신)
056360,코위버,5G(5세대 이동통신)
091440,텔레필드,5G(5세대 이동통신)
049080,기가레인,5G(5세대 이동통신)
127160,매직마이크로,5G(5세대 이동통신)
073540,에프알텍,5G(5세대 이동통신)
007660,이수페타시스,5G(5세대 이동통신)
230240,에치에프알,5G(5세대 이동통신)
052460,아이크래프트,5G(5세대 이동통신)
173130,오파스넷,5G(5세대 이동통신)
065530,와이어블,5G(5세대 이동통신)
069410,엔텔스,5G(5세대 이동통신)
122990,와이솔,5G(5세대 이동통신)
242040,나무기술,5G(5세대 이동통신)
264450,유비쿼스,5G(5세대 이동통신)
061040,알에프텍,5G(5세대 이동통신)
062970,피피아이,5G(5세대 이동통신)
115440,우리넷,5G(5세대 이동통신)
105550,트루윈,5G(5세대 이동통신)
178920,PI첨단소재,5G(5세대 이동통신)
353200,대덕전자,5G(5세대 이동통신)
332570,와이팜,5G(5세대 이동통신)
175140,인포마크,5G(5세대 이동통신)
093520,매커스,가상화폐(비트코인 등)
033320,제이씨현시스템,가상화폐(비트코인 등)
049470,SGA,가상화폐(비트코인 등)
046110,한일네트웍스,가상화폐(비트코인 등)
046440,KG모빌리언스,가상화폐(비트코인 등)
094480,갤럭시아머니트리,가상화폐(비트코인 등)
057680,티사이언티픽,가상화폐(비트코인 등)
036090,위지트,가상화폐(비트코인 등)
021080,에이티넘인베스트,가상화폐(비트코인 등)
041190,우리기술투자,가상화폐(비트코인 등)
121800,비덴트,가상화폐(비트코인 등)
064260,다날,가상화폐(비트코인 등)
019550,SBI인베스트먼트,가상화폐(비트코인 등)
123840,한일진공,가상화폐(비트코인 등)
042040,케이피엠테크,가상화폐(비트코인 등)
